ro_number,customer_id,vehicle_year,vehicle_make,vehicle_model,vehicle_vin,open_date,close_date,status,technician,labor_amount,parts_amount,tax_amount,total_amount
RO-00001,CUST-0001,2015,Toyota,Camry,1FA000001VIN,2026-06-09,2026-06-12,closed,J. Park,341.87,138.60,33.63,514.10
RO-00002,CUST-0001,2015,Toyota,Corolla,1FA000002VIN,2026-08-21,,open,R. Alvarez,286.13,197.29,33.84,517.26
RO-00003,CUST-0001,2018,Nissan,Altima,1FA000003VIN,2026-07-08,2026-07-11,closed,D. Wexler,567.53,783.84,94.60,1445.97
RO-00004,CUST-0002,2023,Jeep,Grand Cherokee,1FA000004VIN,2026-04-06,2026-04-06,closed,T. Mensah,199.42,262.27,32.32,494.01
RO-00005,CUST-0002,2017,Chevrolet,Silverado,1FA000005VIN,2026-06-24,2026-06-28,closed,J. Park,343.49,264.85,42.58,650.92
RO-00006,CUST-0003,2018,Chevrolet,Silverado,1FA000006VIN,2026-08-02,,open,R. Alvarez,98.30,304.44,28.19,430.93
RO-00007,CUST-0003,2016,Ford,Escape,1FA000007VIN,2026-03-19,2026-03-22,closed,J. Park,201.20,464.33,46.59,712.12
RO-00008,CUST-0003,2023,Ford,Escape,1FA000008VIN,2026-03-08,2026-03-11,closed,D. Wexler,387.22,679.90,74.70,1141.82
RO-00009,CUST-0004,2016,Kia,Sorento,1FA000009VIN,2026-03-17,2026-03-18,closed,D. Wexler,510.80,779.16,90.30,1380.26
RO-00010,CUST-0004,2022,Hyundai,Elantra,1FA000010VIN,2026-06-03,2026-06-05,closed,R. Alvarez,419.66,437.20,59.98,916.84
RO-00011,CUST-0005,2015,Subaru,Outback,1FA000011VIN,2026-02-22,,open,J. Park,232.09,587.64,57.38,877.11
RO-00012,CUST-0005,2022,Kia,Sorento,1FA000012VIN,2026-05-06,2026-05-08,closed,T. Mensah,623.68,791.99,99.10,1514.77
RO-00013,CUST-0006,2016,Nissan,Altima,1FA000013VIN,2026-02-21,,open,J. Park,444.20,559.80,70.28,1074.28
RO-00014,CUST-0006,2023,Subaru,Outback,1FA000014VIN,2026-08-06,,open,J. Park,605.79,829.09,100.44,1535.32
RO-00015,CUST-0007,2015,Nissan,Altima,1FA000015VIN,2026-02-12,2026-02-12,closed,D. Wexler,113.02,793.87,63.48,970.37
RO-00016,CUST-0007,2022,Subaru,Outback,1FA000016VIN,2026-08-03,,open,T. Mensah,151.68,603.98,52.90,808.56
RO-00017,CUST-0008,2018,Hyundai,Elantra,1FA000017VIN,2026-08-20,2026-08-21,closed,D. Wexler,609.48,687.08,90.76,1387.32
RO-00018,CUST-0009,2019,Kia,Sorento,1FA000018VIN,2026-07-12,2026-07-12,closed,R. Alvarez,337.35,245.68,40.81,623.84
RO-00019,CUST-0009,2017,Chevrolet,Silverado,1FA000019VIN,2026-06-18,2026-06-18,closed,R. Alvarez,205.52,91.76,20.81,318.09
RO-00020,CUST-0009,2022,Honda,Civic,1FA000020VIN,2026-02-11,2026-02-12,closed,T. Mensah,215.66,612.01,57.94,885.61
RO-00021,CUST-0010,2015,Kia,Sorento,1FA000021VIN,2026-06-19,2026-06-20,closed,R. Alvarez,527.23,732.52,88.18,1347.93
RO-00022,CUST-0010,2015,Jeep,Grand Cherokee,1FA000022VIN,2026-07-14,2026-07-14,closed,R. Alvarez,314.33,781.54,76.71,1172.58
RO-00023,CUST-0011,2020,Honda,Civic,1FA000023VIN,2026-04-26,2026-04-27,closed,T. Mensah,189.21,496.57,48.00,733.78
RO-00024,CUST-0011,2022,Chevrolet,Silverado,1FA000024VIN,2026-04-15,,open,R. Alvarez,606.26,415.52,71.52,1093.30
RO-00025,CUST-0012,2020,Toyota,Camry,1FA000025VIN,2026-06-27,2026-06-28,closed,D. Wexler,608.03,768.37,96.35,1472.75
RO-00026,CUST-0013,2021,Toyota,Camry,1FA000026VIN,2026-08-13,2026-08-15,closed,J. Park,296.01,887.22,82.83,1266.06
RO-00027,CUST-0013,2016,Ford,Escape,1FA000027VIN,2026-05-23,,open,T. Mensah,396.79,655.02,73.63,1125.44
RO-00028,CUST-0014,2023,Ford,Escape,1FA000028VIN,2026-02-19,2026-02-19,closed,D. Wexler,114.75,302.84,29.23,446.82
RO-00029,CUST-0015,2015,Ford,F-150,1FA000029VIN,2026-08-17,2026-08-18,closed,R. Alvarez,627.64,99.70,50.91,778.25
RO-00030,CUST-0015,2023,Hyundai,Elantra,1FA000030VIN,2026-07-08,2026-07-12,closed,R. Alvarez,616.71,525.62,79.96,1222.29
